conference,year,season,session_id,paper_id,area_code,area_name,tier1,map_source,title
IEDM,2023,S2023-24,5,5-5,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,High Area Efficiency (6 TOPS/mm2) Multimodal Neuromorphic Computing System Implemented
IEDM,2023,S2023-24,6,6-1,D2,Memory Devices & Technology,Devices & Process Technology,session,Self-Aligned in 2Pitch Cell Array Transistor (S2CAT) for 4F2 Based DRAM Generation Extension
IEDM,2023,S2023-24,6,6-2,D2,Memory Devices & Technology,Devices & Process Technology,session,High-Performance Gate-all-around Junctionless Vertical-Channel Transistors with the Ultra-low
IEDM,2023,S2023-24,6,6-3,D2,Memory Devices & Technology,Devices & Process Technology,session,"Highly Manufacturable, Cost-Effective, and Monolithically Stackable 4F2 Single-Gated IGZO"
IEDM,2023,S2023-24,6,6-4,D2,Memory Devices & Technology,Devices & Process Technology,session,A Workfunction Engineered Middle-Silicon-TiN Gate (MSTG) Cell Transistor in 16Gbit DRAM for
IEDM,2023,S2023-24,6,6-5,D2,Memory Devices & Technology,Devices & Process Technology,session,A Highly Pitch-Scalable Capacitor-less 3D DRAM Using Cross-bar Selection with Gate-Controlled
IEDM,2023,S2023-24,6,6-6,D2,Memory Devices & Technology,Devices & Process Technology,session,"3-STAR : A Super-steep switching, Stackable, and Strongly Reliable Transistor Array RAM for"
IEDM,2023,S2023-24,6,6-7,D2,Memory Devices & Technology,Devices & Process Technology,session,First Demonstration of True 4-bit Memory with Record High Multibit Retention >103s and Read
IEDM,2023,S2023-24,7,7-1,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,The case for hybrid analog neuromorphic chips based on silicon and 2D materials
IEDM,2023,S2023-24,7,7-2,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Case study of tactile sensors: system level approach to analog in sensor computing
IEDM,2023,S2023-24,7,7-3,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Intelligent Vision Sensor and Edge Computing Envisage the Future
IEDM,2023,S2023-24,7,7-4,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Live-Cell Imaging with Integrated Capacitive Sensor Arrays
IEDM,2023,S2023-24,7,7-5,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Towards CMOS Capacitance Sensors for DNA Origami Characterization
IEDM,2023,S2023-24,7,7-6,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Scalable biosensors using standard CMOS process
IEDM,2023,S2023-24,8,8-1,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,Wafer-level-integrated vertical-waveguide sub-diffraction-limited color splitters
IEDM,2023,S2023-24,8,8-2,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,CMOS image sensor with nano light pillars for optical performance enhancement
IEDM,2023,S2023-24,8,8-3,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,Optical design of dispersive metasurface nano-prism structure for high sensitivity CMOS image
IEDM,2023,S2023-24,8,8-4,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,First Demonstration of HZO-LNOI Integrated Ferroelectric Electro-Optic Modulator and Memory
IEDM,2023,S2023-24,8,8-5,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,Photonic BiCMOS Technology with 80 GHz Ge Photo Detectors and 100 GHz Ge Electro
IEDM,2023,S2023-24,8,8-6,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,A silicon photonic 8&[lambda] x 32Gbps/&[lambda] WDM transceiver with integrated laser array
IEDM,2023,S2023-24,9,9-1,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,Power Conversion Semiconductor and Circuit Trends and Challenges for a Sustainable Energy
IEDM,2023,S2023-24,9,9-2,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,HyFET—A GaN/SiC Hybrid Field-Effect Transistor
IEDM,2023,S2023-24,9,9-3,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,Bipolar p-FET with Enhanced Conduction Capability on E-mode GaN-on-Si HEMT Platform
IEDM,2023,S2023-24,9,9-4,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,Simultaneously Achieving Large Gate Swing and Enhanced Threshold Voltage Stability in
